iter	Logloss
0	0.6737942214
1	0.6558967954
2	0.6391008068
3	0.6244280861
4	0.6096887134
5	0.5966308158
6	0.5842386518
7	0.573885796
8	0.5633705212
9	0.5539231437
10	0.5456789217
11	0.5371287319
12	0.5294296047
13	0.5236264547
14	0.5169556245
15	0.5105622864
16	0.5047956267
17	0.499502469
18	0.4946216038
19	0.4901875777
20	0.4862539273
21	0.4821050335
22	0.4785648746
23	0.4752330017
24	0.4721824065
25	0.4692393748
26	0.466382617
27	0.4639548892
28	0.4619090816
29	0.4595052338
30	0.4574745287
31	0.4556248256
32	0.4539316159
33	0.4523536174
34	0.4508829571
35	0.4495904977
36	0.4482131994
37	0.4468693906
38	0.4457287307
39	0.444640641
40	0.4437462798
41	0.4425253005
42	0.4414284406
43	0.4405465589
44	0.4397614724
45	0.4388737815
46	0.4381932867
47	0.4374156843
48	0.4368027351
49	0.4360698991
50	0.4352989306
51	0.4346889205
52	0.4341479964
53	0.4334955633
54	0.4328443218
55	0.4323883311
56	0.4319969468
57	0.4315153867
58	0.4310892886
59	0.4306296721
60	0.4302183351
61	0.4298085095
62	0.4294912901
63	0.4291080075
64	0.4287235914
65	0.4283387357
66	0.4279160527
67	0.4275578344
68	0.4271597254
69	0.4267903065
70	0.4265819114
71	0.4262694005
72	0.4260542152
73	0.4257911573
74	0.4255216435
75	0.4252579353
76	0.4249843452
77	0.4246789587
78	0.4244032796
79	0.4241948119
80	0.4239815921
81	0.4237187485
82	0.423477191
83	0.4232855624
84	0.4230773127
85	0.4228868539
86	0.4227213287
87	0.4224933225
88	0.422329196
89	0.4220917547
90	0.4218528384
91	0.4216365197
92	0.4214877973
93	0.4212859126
94	0.4211070978
95	0.4209510367
96	0.420774329
97	0.4206286585
98	0.4204305885
99	0.4202838934
100	0.4200885555
101	0.4199056135
102	0.419739478
103	0.4195578584
104	0.4194014013
105	0.4192612857
106	0.4190307872
107	0.4188285537
108	0.4186366853
109	0.418426332
110	0.4183247158
111	0.4181311798
112	0.4179425993
113	0.4177878316
114	0.4176707241
115	0.4175154259
116	0.4174673971
117	0.4173955645
118	0.4172590601
119	0.4170477295
120	0.4168808129
121	0.416707444
122	0.4165720331
123	0.41641421
124	0.4162612733
125	0.4161373574
126	0.4159901501
127	0.4158322471
128	0.415680473
129	0.4155642228
130	0.4153536515
131	0.4151491765
132	0.4149724833
133	0.4147835468
134	0.4146467263
135	0.414553982
136	0.4144764056
137	0.4143316614
138	0.4141752988
139	0.414067539
140	0.4139239829
141	0.4137785049
142	0.4136889031
143	0.4135690344
144	0.4135013108
145	0.4133354587
146	0.4131945147
147	0.4130748276
148	0.4129311371
149	0.4128121476
150	0.4127250671
151	0.4125986735
152	0.4124508485
153	0.4123417882
154	0.4121862684
155	0.4120661745
156	0.4119323512
157	0.4117945026
158	0.4116698601
159	0.4116026597
160	0.4115358879
161	0.411440724
162	0.4112537057
163	0.4111473265
164	0.4109929839
165	0.4108694204
166	0.4108220382
167	0.4107020787
168	0.4105730148
169	0.4104730261
170	0.4103976876
171	0.4102943457
172	0.4101949274
173	0.410131291
174	0.4100324722
175	0.4098938134
176	0.4097732544
177	0.4096854655
178	0.4095800236
179	0.4094938805
180	0.4094165366
181	0.4093382082
182	0.409149951
183	0.4089563061
184	0.4088194021
185	0.4087358602
186	0.4085865021
187	0.4084684862
188	0.4083439564
189	0.4082407125
190	0.4081797682
191	0.4080524336
192	0.4079778653
193	0.4078264836
194	0.4076915632
195	0.4076168751
196	0.4075056203
197	0.4073483858
198	0.407278813
199	0.4071823883
200	0.4071089645
201	0.4070405615
202	0.4069426219
203	0.4068595741
204	0.4066568429
205	0.4065524728
206	0.4064785258
207	0.4063234529
208	0.4061781311
209	0.4060296086
210	0.4059671929
211	0.4058978962
212	0.4057800293
213	0.4057203129
214	0.4056361607
215	0.405556746
216	0.4054856182
217	0.4053996386
218	0.4052987707
219	0.4051673453
220	0.4050802721
221	0.4050273023
222	0.4049110267
223	0.4048040227
224	0.4047403644
225	0.4046575383
226	0.4045299058
227	0.4044688016
228	0.404335952
229	0.4042362395
230	0.404187197
231	0.4041246578
232	0.4039997282
233	0.4039152418
234	0.4038484228
235	0.4037188103
236	0.4036677624
237	0.4035647147
238	0.4035158466
239	0.403414263
240	0.4032843345
241	0.4031672814
242	0.4030697995
243	0.4029414586
244	0.4028896986
245	0.4028105091
246	0.4026999555
247	0.4026533181
248	0.4025218273
249	0.4024730101
250	0.4023466891
251	0.4022752053
252	0.4021393731
253	0.4020390756
254	0.4018946911
255	0.4017787933
256	0.4017173004
257	0.4016175842
258	0.4015134866
259	0.4014351472
260	0.4013802919
261	0.4012722815
262	0.4011458769
263	0.401003734
264	0.4009291113
265	0.4008059547
266	0.4007154919
267	0.4005951582
268	0.4004973094
269	0.4004137457
270	0.4003726233
271	0.4002123951
272	0.4000978561
273	0.3999389176
274	0.3998573739
275	0.399739587
276	0.3996556636
277	0.3995275443
278	0.3994431051
279	0.3993144698
280	0.399250016
281	0.3991809264
282	0.3990539115
283	0.3989418066
284	0.3988158598
285	0.3987121219
286	0.398630095
287	0.3984761229
288	0.3983930824
289	0.3982957604
290	0.3981674085
291	0.3980476706
292	0.3978579385
293	0.3977827999
294	0.3976902807
295	0.3975918143
296	0.3974806904
297	0.3973978787
298	0.3972830527
299	0.3972260284
300	0.3971598961
301	0.3970249031
302	0.3969259716
303	0.3967714982
304	0.3966471282
305	0.3965301804
