iter	Passed	Remaining
0	22	6587
1	30	4575
2	39	3897
3	45	3382
4	52	3116
5	64	3143
6	71	2989
7	86	3154
8	96	3119
9	106	3099
10	114	3009
11	120	2882
12	125	2779
13	130	2657
14	138	2635
15	150	2663
16	156	2608
17	164	2574
18	169	2513
19	175	2456
20	180	2393
21	185	2340
22	191	2308
23	196	2262
24	202	2226
25	208	2195
26	215	2183
27	222	2164
28	229	2141
29	235	2120
30	242	2103
31	250	2096
32	255	2069
33	262	2049
34	268	2035
35	273	2004
36	280	1991
37	284	1964
38	291	1953
39	298	1941
40	304	1925
41	310	1905
42	316	1892
43	322	1878
44	329	1868
45	337	1861
46	340	1835
47	348	1827
48	354	1817
49	362	1810
50	369	1802
51	376	1795
52	383	1788
53	389	1772
54	395	1760
55	400	1742
56	404	1723
57	411	1718
58	417	1707
59	424	1696
60	435	1707
61	443	1702
62	449	1691
63	455	1680
64	461	1667
65	466	1654
66	471	1640
67	476	1624
68	481	1613
69	486	1597
70	490	1581
71	494	1565
72	499	1551
73	504	1540
74	509	1528
75	513	1512
76	518	1502
77	524	1492
78	529	1482
79	536	1475
80	540	1462
81	546	1453
82	552	1444
83	565	1453
84	572	1449
85	580	1444
86	588	1441
87	627	1511
88	637	1510
89	646	1509
90	661	1518
91	679	1536
92	694	1546
93	704	1544
94	711	1534
95	719	1528
96	727	1521
97	733	1512
98	739	1502
99	745	1490
100	751	1481
101	757	1470
102	764	1462
103	774	1460
104	781	1451
105	787	1441
106	792	1430
107	797	1418
108	802	1406
109	808	1395
110	814	1386
111	831	1394
112	841	1392
113	853	1392
114	859	1383
115	865	1373
116	870	1362
117	876	1351
118	881	1340
119	886	1329
120	891	1318
121	898	1310
122	902	1299
123	906	1286
124	911	1275
125	915	1264
126	920	1253
127	924	1242
128	929	1231
129	933	1220
130	938	1210
131	943	1201
132	948	1190
133	952	1180
134	956	1169
135	961	1158
136	964	1147
137	969	1137
138	974	1128
139	978	1118
140	984	1110
141	992	1104
142	997	1094
143	1002	1085
144	1007	1077
145	1012	1068
146	1017	1058
147	1022	1050
148	1027	1040
149	1032	1032
150	1038	1024
151	1043	1015
152	1048	1007
153	1053	998
154	1058	990
155	1063	981
156	1069	973
157	1073	964
158	1077	955
159	1086	950
160	1091	942
161	1096	934
162	1101	925
163	1106	917
164	1111	909
165	1116	901
166	1120	892
167	1124	883
168	1128	874
169	1132	866
170	1137	857
171	1141	849
172	1146	841
173	1150	833
174	1153	824
175	1158	815
176	1161	807
177	1165	798
178	1169	790
179	1173	782
180	1177	774
181	1181	766
182	1185	757
183	1189	750
184	1193	742
185	1197	734
186	1202	726
187	1206	718
188	1210	711
189	1214	703
190	1219	695
191	1223	688
192	1226	680
193	1230	672
194	1235	665
195	1239	657
196	1243	650
197	1247	642
198	1251	635
199	1255	627
200	1259	620
201	1263	613
202	1267	605
203	1271	598
204	1275	591
205	1281	584
206	1286	577
207	1290	570
208	1295	564
209	1302	558
210	1307	551
211	1313	545
212	1318	538
213	1322	531
214	1327	524
215	1331	517
216	1336	511
217	1341	504
218	1346	498
219	1351	491
220	1356	484
221	1361	478
222	1365	471
223	1369	464
224	1374	458
225	1378	451
226	1384	445
227	1390	439
228	1395	432
229	1399	425
230	1404	419
231	1408	412
232	1413	406
233	1418	400
234	1423	393
235	1427	387
236	1432	380
237	1437	374
238	1443	368
239	1448	362
240	1454	356
241	1460	349
242	1464	343
243	1470	337
244	1476	331
245	1481	325
246	1485	318
247	1496	313
248	1501	307
249	1509	301
250	1515	295
251	1521	289
252	1527	283
253	1531	277
254	1535	270
255	1540	264
256	1544	258
257	1548	252
258	1552	245
259	1557	239
260	1561	233
261	1565	227
262	1570	221
263	1577	215
264	1582	209
265	1587	202
266	1592	196
267	1596	190
268	1600	184
269	1605	178
270	1609	172
271	1613	166
272	1617	159
273	1621	153
274	1625	147
275	1629	141
276	1633	135
277	1637	129
278	1641	123
279	1645	117
280	1650	111
281	1654	105
282	1658	99
283	1661	93
284	1665	87
285	1670	81
286	1674	75
287	1678	69
288	1682	64
289	1687	58
290	1691	52
291	1695	46
292	1699	40
293	1704	34
294	1708	28
295	1713	23
296	1718	17
297	1722	11
298	1726	5
299	1730	0
